secaoprincipal;zona;codmunicipio;municipio;codlocal;localvotacao;endereco;bairro;cep;aptos
33;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;399
34;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;401
35;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;400
36;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;400
37;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;402
38;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;401
39;1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;399
40;1;13897;FORTALEZA;2690;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;60150162;396
41;1;13897;FORTALEZA;2690;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;60150162;401
42;1;13897;FORTALEZA;2690;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;60150162;398
50;1;13897;FORTALEZA;2046;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;395
81;1;13897;FORTALEZA;2372;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;60175230;393
82;1;13897;FORTALEZA;2372;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;60175230;397
83;1;13897;FORTALEZA;2372;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;60175230;393
84;1;13897;FORTALEZA;2372;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;60175230;395
